sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:row_number,ADD_INFO:dataset,ADD_INFO:variable_name,ADD_INFO:variable_description,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
1,Unknown,3134,,17,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,1.00,APPROVED,EQUAL,Reinp,1768966423400,441413,Death of unknown cause,Observation,MAPS_TO,,Reinp,1768966412597,
17,06.01 Acute abdomen,620,,33,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.65,APPROVED,EQUAL,Reinp,1768966799786,4241033,Acute abdomen,Condition,MAPS_TO,,<auto>,1768964703778,
51,02.04 breast neoplasms,69,,67,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.47,APPROVED,EQUAL,Reinp,1769072112788,81251,Neoplasm of breast,Condition,MAPS_TO,,<auto>,1768964703897,
54,02.01 oral neoplasms,54,,70,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.50,APPROVED,EQUAL,Reinp,1769166445749,4130986,Neoplasm of mouth,Condition,MAPS_TO,,Reinp,1769166428149,
2,01.03 HIV/AIDS related death,2980,,18,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.62,APPROVED,EQUAL,Reinp,1769167057168,439727,Human immunodeficiency virus infection,Condition,MAPS_TO,,Reinp,1769167046544,
81,Animal Bite or Attack,14,,97,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.66,APPROVED,EQUAL,Reinp,1768965591596,45877493,Animal bite,Meas Value,MAPS_TO,,Reinp,1768965581892,
61,12.10 Exposure to force of nature,36,,77,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.54,APPROVED,EQUAL,Reinp,1769221296693,437453,Accident due to environmental factor,Observation,MAPS_TO,,Reinp,1769221293669,
41,12.08 intentional self-harm,143,,57,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.70,APPROVED,EQUAL,Reinp,1769162786873,4303690,Intentionally harming self,Observation,MAPS_TO,,Reinp,1769162785474,
18,"02.05, 02.06 reproductive neoplasms m,f",598,,34,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.32,APPROVED,EQUAL,Reinp,1769167394172,4113639,Benign genital neoplasm,Condition,MAPS_TO,,Reinp,1769167378748,
52,12.02 Other transport accident,66,,68,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.65,APPROVED,EQUAL,Reinp,1769221459396,435713,Transport accident,Observation,MAPS_TO,,Reinp,1769221442996,
82,Cerebrovascular disease,14,,98,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,1.00,APPROVED,EQUAL,Reinp,1769072273431,381591,Cerebrovascular disease,Condition,MAPS_TO,,Reinp,1769072236274,
44,10.99 other and unspecified neonatal cod,94,,60,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.50,APPROVED,EQUAL,Reinp,1769318778694,4042220,Neonatal disorder,Condition,MAPS_TO,,Reinp,1769318770835,
62,01.12 Dengue fever,36,,78,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.67,APPROVED,EQUAL,Reinp,1769072339102,440022,Dengue,Condition,MAPS_TO,,Reinp,1769072333499,
83,Eclampsia,8,,99,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,1.00,APPROVED,EQUAL,Reinp,1769072349098,443700,Eclampsia,Condition,MAPS_TO,,<auto>,1768964718279,
19,03.02 Severe malnutrition,551,,35,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.73,APPROVED,EQUAL,Reinp,1769072391161,440370,Nutritional marasmus,Condition,MAPS_TO,,<auto>,1768964721538,
45,09.06 Pregnancy-related sepsis,93,,61,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.61,APPROVED,EQUAL,Reinp,1769168921119,37175321,Antepartum septicemia,Condition,MAPS_TO,,Reinp,1769168911391,
53,12.07 Accid poisoning & noxious subs,63,,69,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.39,APPROVED,EQUAL,Reinp,1769222001921,436581,Accidental poisoning,Condition,MAPS_TO,,Reinp,1769221992145,
84,Carcinoma of the lung,8,,100,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.83,APPROVED,EQUAL,Reinp,1768966093738,40492938,Carcinoma of lung,Condition,MAPS_TO,,<auto>,1768964724737,
63,AIDS and Pulmonary tuberculosis,33,,79,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.83,APPROVED,EQUAL,Reinp,1769220113158,37116831,Extrapulmonary tuberculosis co-occurrent with human immunodeficiency virus infection,Condition,MAPS_TO,,Reinp,1769220091072,
55,All other specified and Unspecified cardiovascular disorders,51,,71,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.63,APPROVED,EQUAL,Reinp,1769237976379,134057,Disorder of cardiovascular system,Condition,MAPS_TO,,<auto>,1768964725243,
42,12.99 Other and unspecified external CoD,129,,58,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.51,APPROVED,EQUAL,Reinp,1769315675968,432795,Traumatic or non-traumatic injury,Condition,MAPS_TO,,Reinp,1769315670984,
22,07.01 Renal failure,460,,38,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.64,APPROVED,EQUAL,Reinp,1769197475923,192359,Renal failure syndrome,Condition,MAPS_TO,,<auto>,1768964725528,
3,01.02 Acute resp infect incl pneumonia,2182,,19,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.19,APPROVED,EQUAL,Reinp,1769220535351,4112341,Acute respiratory infections,Condition,MAPS_TO,,Reinp,1769220526095,
4,Malawi,4645,,14,VA_INSPIRE_merged_final.csv,country,Country,1.00,APPROVED,EQUAL,Reinp,1768965076982,4072113,Malawi,Geography,MAPS_TO,,Reinp,1768965068400,
43,Pneumonia,119,,59,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,1.00,APPROVED,EQUAL,Reinp,1769162980998,255848,Pneumonia,Condition,MAPS_TO,,<auto>,1768964727530,
46,Renal disorders,89,,62,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.92,APPROVED,EQUAL,Reinp,1769163024884,198124,Kidney disease,Condition,MAPS_TO,,<auto>,1768964727679,
5,Burkina Faso,4345,,15,VA_INSPIRE_merged_final.csv,country,Country,1.00,APPROVED,EQUAL,Reinp,1768965102811,4075209,Burkina Faso,Geography,MAPS_TO,,Reinp,1768965100828,
78,Congestive cardiac failure,16,,94,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,1.00,APPROVED,EQUAL,Reinp,1769163066171,319835,Congestive heart failure,Condition,MAPS_TO,,<auto>,1768964732284,
38,03.01 severe anaemia,159,,54,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.50,APPROVED,EQUAL,Reinp,1769245585403,439777,Anemia,Condition,MAPS_TO,,<auto>,1768964732459,
6,Senegal,2,,16,VA_INSPIRE_merged_final.csv,country,Country,1.00,APPROVED,EQUAL,Reinp,1768965147421,4071848,Senegal,Geography,MAPS_TO,,Reinp,1768965144729,
23,02.99 other and unspecified neoplasms,439,,39,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.46,APPROVED,EQUAL,Reinp,1769239465491,432582,Neoplastic disease of uncertain behavior,Condition,MAPS_TO,,Reinp,1769239456252,
56,Carcinoma of gastrointestinal tract,48,,72,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.81,APPROVED,EQUAL,Reinp,1769317445840,4244495,Carcinoma in situ of gastrointestinal tract,Condition,MAPS_TO,,Reinp,1769317440903,
79,Ischaemic heart disease,16,,95,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,1.00,APPROVED,EQUAL,Reinp,1769163143903,4185932,Ischemic heart disease,Condition,MAPS_TO,,<auto>,1768964737785,
39,09.04 obstetric haemorrhage,156,,55,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.60,APPROVED,EQUAL,Reinp,1769169827564,443929,Postpartum hemorrhage,Condition,MAPS_TO,,Reinp,1769169820372,
49,Acute abdominal conditions,73,,65,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.73,APPROVED,EQUAL,Reinp,1769198105201,4023573,Acute abdominal pain,Condition,MAPS_TO,,<auto>,1768964738324,
57,Tetanus,48,,73,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,1.00,APPROVED,EQUAL,Reinp,1769163179655,435740,Tetanus,Condition,MAPS_TO,,<auto>,1768964738976,
20,02.03 respiratory neoplasms,523,,36,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.52,APPROVED,EQUAL,Reinp,1769197296934,252280,Neoplasm of respiratory tract,Condition,MAPS_TO,,Reinp,1769197287860,
64,Other specified unintentional injuries,32,,80,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.52,APPROVED,EQUAL,Reinp,1769316867594,4053720,Accidental injury,Condition,MAPS_TO,,Reinp,1769316859306,
27,Hypertension,250,,43,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,1.00,APPROVED,EQUAL,Reinp,1769163365854,316866,Hypertensive disorder,Condition,MAPS_TO,,Reinp,1769163312759,
80,09.07 anaemia of pregnancy,16,,96,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.69,APPROVED,EQUAL,Reinp,1769163389607,4099889,Anemia of pregnancy,Condition,MAPS_TO,,<auto>,1768964743457,
40,01.01 Sepsis (non-obstetric),146,,56,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.49,APPROVED,EQUAL,Reinp,1769223202840,132797,Sepsis,Condition,MAPS_TO,,Reinp,1769223192688,
50,11.02 Macerated stillbirth,70,,66,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.81,APPROVED,EQUAL,Reinp,1769163421374,4028787,Macerated stillbirth,Condition,MAPS_TO,,<auto>,1768964744931,
7,04.99 Other and unspecified cardiac dis,1408,,23,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.47,APPROVED,EQUAL,Reinp,1769238212890,321588,Heart disease,Condition,MAPS_TO,,Reinp,1769238203178,
47,05.02 Asthma,80,,63,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.58,APPROVED,EQUAL,Reinp,1769163448686,317009,Asthma,Condition,MAPS_TO,,Reinp,1769163444334,
21,03.03 Diabetes mellitus,507,,37,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.69,APPROVED,EQUAL,Reinp,1769163462070,201820,Diabetes mellitus,Condition,MAPS_TO,,<auto>,1768964746164,
31,All other and unspecified specified noncommunicable diseases,206,,47,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.51,APPROVED,EQUAL,Reinp,1769317965742,443783,Chronic disease,Condition,MAPS_TO,,Reinp,1769317960974,
58,Homicidal injuries,47,,74,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.52,APPROVED,EQUAL,Reinp,1769246885936,4101415,Homicide,Observation,MAPS_TO,,Reinp,1769246881313,
28,10.04 Neonatal sepsis,241,,44,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.70,APPROVED,EQUAL,Reinp,1769163544798,4071063,Sepsis of the newborn,Condition,MAPS_TO,,Reinp,1769163542646,
48,01.10 Pertussis,78,,64,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.59,APPROVED,EQUAL,Reinp,1769163553621,257778,Pertussis,Condition,MAPS_TO,,<auto>,1768964749121,
14,10.01 Prematurity,654,,30,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.69,APPROVED,EQUAL,Reinp,1768966751039,36675035,Prematurity of infant,Condition,MAPS_TO,,Reinp,1768966746422,
8,02.02 digestive neoplasms,1202,,24,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.53,APPROVED,EQUAL,Reinp,1769163625970,196931,Neoplasm of digestive tract,Condition,MAPS_TO,,<auto>,1768964751145,
29,12.03 Accid fall,221,,45,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.47,APPROVED,EQUAL,Reinp,1769163662168,435991,Accidental fall,Observation,MAPS_TO,,<auto>,1768964751797,
34,01.06 Measles,178,,50,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.58,APPROVED,EQUAL,Reinp,1769163670375,4030555,Measles,Condition,MAPS_TO,,<auto>,1768964751929,
9,04.02 Stroke,1184,,25,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.55,APPROVED,EQUAL,Reinp,1769197233781,36210384,Stroke,Meas Value,MAPS_TO,,Reinp,1769197206469,
36,All other perinatal causes,166,,52,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.58,APPROVED,EQUAL,Reinp,1769244605072,4187201,Perinatal disorder,Condition,MAPS_TO,,Reinp,1769244590686,
30,08.01 Epilepsy,220,,46,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.55,APPROVED,EQUAL,Reinp,1769163782457,380378,Epilepsy,Condition,MAPS_TO,,Reinp,1769163778937,
32,12.04 Accid drowning and submersion,199,,48,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.80,APPROVED,EQUAL,Reinp,1769163821087,436593,Accidental drowning and submersion,Observation,MAPS_TO,,<auto>,1768964755200,
15,04.01 Acute cardiac disease,651,,31,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.49,APPROVED,EQUAL,Reinp,1769169510599,4215140,Acute coronary syndrome,Condition,MAPS_TO,,Reinp,1769169504781,
24,11.01 Fresh stillbirth,411,,40,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.79,APPROVED,EQUAL,Reinp,1769163930752,4034159,Fresh stillbirth,Condition,MAPS_TO,,<auto>,1768964758055,
16,10.02 Birth asphyxia,622,,32,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.85,APPROVED,EQUAL,Reinp,1768966773582,4184996,Birth asphyxia,Condition,MAPS_TO,,<auto>,1768964760342,
35,10.06 Congenital malformation,175,,51,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.75,APPROVED,EQUAL,Reinp,1769163950636,4079975,Congenital malformation,Condition,MAPS_TO,,<auto>,1768964762286,
25,06.02 Liver cirrhosis,410,,41,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.60,APPROVED,EQUAL,Reinp,1769163958949,4064161,Cirrhosis of liver,Condition,MAPS_TO,,<auto>,1768964762356,
37,12.05 Accid expos to smoke fire & flame,162,,53,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.42,APPROVED,EQUAL,Reinp,1769221727851,4143700,Smoke inhalation injury,Condition,MAPS_TO,,Reinp,1769221717676,
10,01.07 Meningitis and encephalitis,890,,26,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.41,APPROVED,EQUAL,Reinp,1769164073693,4322814,Meningoencephalitis,Condition,MAPS_TO,,Reinp,1769164067309,
33,05.01 chronic obstructive pulmonary dis,196,,49,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.76,APPROVED,EQUAL,Reinp,1769164124036,255573,Chronic obstructive pulmonary disease,Condition,MAPS_TO,,Reinp,1769164105942,
68,Ruptured uterus,27,,84,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,1.00,APPROVED,EQUAL,Reinp,1769164150212,444066,Rupture of uterus,Condition,MAPS_TO,,Reinp,1769164146860,
11,12.01 Road traffic accident,797,,27,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.78,APPROVED,EQUAL,Reinp,1769164232532,437165,Motor vehicle traffic accident,Observation,MAPS_TO,,<auto>,1768964768120,
88,All other specified and Unspecified Acute Respiratory Infections,5,,104,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.68,APPROVED,EQUAL,Reinp,1769238287057,4112341,Acute respiratory infections,Condition,MAPS_TO,,<auto>,1768964768128,
4,01.04 Diarrhoeal diseases,2050,,20,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.72,APPROVED,EQUAL,Reinp,1769164251492,4134607,Diarrheal disorder,Condition,MAPS_TO,,<auto>,1768964768223,
26,10.03 Neonatal pneumonia,280,,42,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.76,APPROVED,EQUAL,Reinp,1769164262524,4051337,Neonatal pneumonia,Condition,MAPS_TO,,<auto>,1768964768576,
59,All other specified acute abdominal conditions,40,,75,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.55,APPROVED,EQUAL,Reinp,1769240387618,4023573,Acute abdominal pain,Condition,MAPS_TO,,Reinp,1769240372025,
71,09.02 abortion-related death,22,,87,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.39,APPROVED,EQUAL,Reinp,1769164378291,4080913,Amputation-related dermatosis,Condition,MAPS_TO,,<auto>,1768964769622,
85,09.05 Obstructed labour,7,,101,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.66,APPROVED,EQUAL,Reinp,1768966112479,193827,Obstructed labor,Condition,MAPS_TO,,<auto>,1768964769939,
12,12.09 Assault,789,,28,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.61,APPROVED,EQUAL,Reinp,1769164419387,439237,Assault,Observation,MAPS_TO,,<auto>,1768964769961,
89,Carcinoma breast,5,,105,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.87,APPROVED,EQUAL,Reinp,1768966159409,4116071,Carcinoma of breast,Condition,MAPS_TO,,<auto>,1768964773059,
72,01.11 Haemorrhagic fever,21,,88,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.73,APPROVED,EQUAL,Reinp,1769164543075,4347554,Viral hemorrhagic fever,Condition,MAPS_TO,,<auto>,1768964773795,
90,Puerperal sepsis,4,,106,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,1.00,APPROVED,EQUAL,Reinp,1768966168223,4102318,Puerperal sepsis,Condition,MAPS_TO,,<auto>,1768964773906,
5,01.09 pulmonary tuberculosis,1790,,21,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.72,APPROVED,EQUAL,Reinp,1769164577938,253954,Pulmonary tuberculosis,Condition,MAPS_TO,,<auto>,1768964774474,
91,Burns,2,,107,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,1.00,APPROVED,EQUAL,Reinp,1769196920033,442013,Burn,Condition,MAPS_TO,,Reinp,1769196910319,
69,09.03 pregnancy-induced hypertension,24,,85,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.81,APPROVED,EQUAL,Reinp,1769164604041,4167493,Pregnancy-induced hypertension,Condition,MAPS_TO,,<auto>,1768964775237,
86,09.01 ectopic pregnancy,6,,102,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.64,APPROVED,EQUAL,Reinp,1768966122172,437611,Ectopic pregnancy,Condition,MAPS_TO,,<auto>,1768964775568,
2,middle lower,7499,,7,VA_INSPIRE_merged_final.csv,ses_quintile,Socio-economic status,0.79,FLAGGED,EQUAL,Reinp,1769239001185,4125576,Median,Observation,MAPS_TO,,<auto>,1768964775776,
2,Rural,11527,,4,VA_INSPIRE_merged_final.csv,residence,Settlement type,1.00,APPROVED,EQUAL,Reinp,1769219381553,44803750,Rural development,Observation,MAPS_TO,,Reinp,1769219343779,
3,middle upper,5800,,8,VA_INSPIRE_merged_final.csv,ses_quintile,Socio-economic status,0.75,FLAGGED,EQUAL,Reinp,1769239005288,4125576,Median,Observation,MAPS_TO,,<auto>,1768964778934,
3,Peri-Urban,2890,,5,VA_INSPIRE_merged_final.csv,residence,Settlement type,0.56,FLAGGED,EQUAL,Reinp,1769239012921,4027898,Peri-urethral gland zone of prostate,Spec Anatomic Site,MAPS_TO,,<auto>,1768964779328,
6,01.05 Malaria,1712,,22,VA_INSPIRE_merged_final.csv,cause_of_death_new,Cause of death,0.55,APPROVED,EQUAL,Reinp,1769164870419,438067,Malaria,Condition,MAPS_TO,,Reinp,1769164868243,
4,middle,4108,,9,VA_INSPIRE_merged_final.csv,ses_quintile,Socio-economic status,1.00,FLAGGED,EQUAL,Reinp,1769239006827,4125576,Median,Observation,MAPS_TO,,<auto>,1768964780321,
